State,Literacy
 Maharashtra,84.53
 West Bengal,84.06
 Karnataka,87.67
 Maharashtra,86.15
 Maharashtra,89.91
 West Bengal,77.51
 West Bengal,76.21
 Gujarat,85.31
 West Bengal,66.59
 Rajasthan,75.51
 Maharashtra,82.31
 Gujarat,85.53
 Uttar Pradesh,72.32
 West Bengal,78.0
 Bihar,70.68
 West Bengal,81.8
 Andhra Pradesh,75.87
 West Bengal,74.97
 Andhra Pradesh,70.99
 Bihar,55.79
 West Bengal,87.02
 Andhra Pradesh,67.4
 West Bengal,83.31
 Bihar,63.43
 Karnataka,73.48
 Uttar Pradesh,56.77
 Uttar Pradesh,78.07
 Maharashtra,88.39
 Tamil Nadu,90.18
 Uttar Pradesh,70.93
 Uttar Pradesh,77.29
 Uttar Pradesh,79.65
 Maharashtra,79.05
 Andhra Pradesh,73.74
 West Bengal,86.31
 Uttar Pradesh,71.55
 Bihar,58.62
 Uttar Pradesh,61.12
 Uttar Pradesh,58.49
 Uttar Pradesh,70.83
 Uttar Pradesh,71.58
 Bihar,63.67
 Maharashtra,77.02
 Andhra Pradesh,66.91
 Bihar,61.86
 Maharashtra,78.2
 Andhra Pradesh,71.53
 Gujarat,78.92
 Uttar Pradesh,69.12
 Kerala,93.57
 Uttar Pradesh,64.57
 Andhra Pradesh,63.57
 Chhattisgarh,75.56
 Andhra Pradesh,59.97
 Andhra Pradesh,55.04
 Uttar Pradesh,60.56
 Tamil Nadu,84.49
 West Bengal,61.73
 Bihar,65.96
 Andhra Pradesh,83.25
 Bihar,56.56
 Andhra Pradesh,74.63
 Tamil Nadu,79.17
 Bihar,55.7
 Maharashtra,81.51
 West Bengal,73.25
 Gujarat,80.96
 Uttar Pradesh,69.27
 Andhra Pradesh,64.15
 Tamil Nadu,84.03
 Maharashtra,79.02
 Rajasthan,65.94
 Uttar Pradesh,68.48
 Uttar Pradesh,51.29
 Uttar Pradesh,75.6
 Rajasthan,70.72
 Uttar Pradesh,67.52
 Delhi,84.45
 Uttar Pradesh,71.78
 West Bengal,70.26
 Uttar Pradesh,65.25
 Orissa,71.09
 Andhra Pradesh,65.11
 West Bengal,70.68
 Uttar Pradesh,68.88
 Punjab,82.2
 Bihar,66.6
 Andhra Pradesh,64.2
 Uttar Pradesh,49.36
 Tamil Nadu,72.86
 Uttar Pradesh,70.49
 Tamil Nadu,71.88
 Tamil Nadu,83.98
 Uttar Pradesh,72.84
 Uttar Pradesh,58.71
 Bihar,52.05
 Uttar Pradesh,67.25
 Andhra Pradesh,63.08
